"Time",pm10
2024-09-29 06:00:00,0.0604
2024-09-29 07:00:00,0.0568
2024-09-29 08:00:00,0.0642
2024-09-29 09:00:00,0.0734
2024-09-29 10:00:00,0.0733
2024-09-29 11:00:00,0.0556
2024-09-29 12:00:00,0.0664
2024-09-29 13:00:00,0.0773
2024-09-29 14:00:00,0.0683
2024-09-29 15:00:00,0.0639
2024-09-29 16:00:00,0.0539
2024-09-29 17:00:00,0.0564
2024-09-29 18:00:00,0.0513
2024-09-29 19:00:00,0.0585
2024-09-29 20:00:00,0.0744
2024-09-29 21:00:00,0.0696
2024-09-29 22:00:00,0.0598
2024-09-29 23:00:00,0.0633
2024-09-30 00:00:00,0.0658
2024-09-30 01:00:00,0.0569
2024-09-30 02:00:00,0.0576
2024-09-30 03:00:00,0.0529
2024-09-30 04:00:00,0.0510
2024-09-30 05:00:00,0.0535
2024-09-30 06:00:00,0.0501
2024-09-30 07:00:00,0.0427
2024-09-30 08:00:00,0.0614
2024-09-30 09:00:00,0.0652
2024-09-30 10:00:00,0.0561
2024-09-30 11:00:00,0.0522
2024-09-30 12:00:00,0.0508
2024-09-30 13:00:00,0.0558
2024-09-30 14:00:00,0.0539
2024-09-30 15:00:00,0.0512
2024-09-30 16:00:00,0.0525
2024-09-30 17:00:00,0.0359
2024-09-30 18:00:00,0.0390
2024-09-30 19:00:00,0.0384
2024-09-30 20:00:00,0.0451
2024-09-30 21:00:00,0.0361
2024-09-30 22:00:00,0.0338
2024-09-30 23:00:00,0.0413
2024-10-01 00:00:00,0.0416
2024-10-01 01:00:00,0.0417
2024-10-01 02:00:00,0.0459
2024-10-01 03:00:00,0.0387
2024-10-01 04:00:00,0.0353
2024-10-01 05:00:00,0.0444
2024-10-01 06:00:00,0.0312
2024-10-01 07:00:00,0.0377
2024-10-01 08:00:00,0.0451
2024-10-01 09:00:00,0.0343
2024-10-01 10:00:00,0.0489
2024-10-01 11:00:00,0.0444
2024-10-01 12:00:00,0.0424
2024-10-01 13:00:00,0.0411
2024-10-01 14:00:00,0.0337
2024-10-01 15:00:00,0.0556
2024-10-01 16:00:00,0.0487
2024-10-01 17:00:00,0.0278
2024-10-01 18:00:00,0.0380
2024-10-01 19:00:00,0.0367
2024-10-01 20:00:00,0.0329
2024-10-01 21:00:00,0.0408
